SAPR4;ELET6;VIVT3;MGLU3;;;;;;;;;;;;;;;;
 3,64 ; 22,65 ; 39,11 ; 1,77 ;;;;;;;;;;;;;;;;
 3,80 ; 22,76 ; 39,30 ; 1,84 ;;;;;;;;;;;;;;;;
 3,91 ; 22,97 ; 39,08 ; 1,88 ;;;;;;;;;;;;;;;;
 3,96 ; 23,74 ; 38,02 ; 1,87 ;;;;;;;;;;;;;;;;
 4,03 ; 24,23 ; 38,30 ; 1,82 ;;;;;;;;;;;;;;;;
 4,00 ; 23,90 ; 38,31 ; 1,90 ;;;;;;;;;;;;;;;;
 3,94 ; 23,55 ; 37,65 ; 1,85 ;;;;;;;;;;;;;;;;
 3,83 ; 23,10 ; 38,03 ; 1,82 ;;;;;;;;;;;;;;;;
 3,67 ; 22,66 ; 37,46 ; 1,80 ;;;;;;;;;;;;;;;;
 3,54 ; 21,36 ; 36,96 ; 1,76 ;;;;;;;;;;;;;;;;
 3,39 ; 21,41 ; 37,89 ; 1,80 ;;;;;;;;;;;;;;;;
 3,43 ; 22,14 ; 37,50 ; 1,79 ;;;;;;;;;;;;;;;;
 3,39 ; 21,68 ; 37,41 ; 1,78 ;;;;;;;;;;;;;;;;
 3,42 ; 22,15 ; 38,75 ; 1,81 ;;;;;;;;;;;;;;;;
 3,43 ; 21,69 ; 39,05 ; 2,00 ;;;;;;;;;;;;;;;;
 3,50 ; 21,47 ; 39,07 ; 2,17 ;;;;;;;;;;;;;;;;
 3,57 ; 21,00 ; 38,38 ; 2,16 ;;;;;;;;;;;;;;;;
 3,60 ; 21,27 ; 38,40 ; 2,16 ;;;;;;;;;;;;;;;;
 3,52 ; 20,70 ; 39,39 ; 2,13 ;;;;;;;;;;;;;;;;
 3,52 ; 20,12 ; 38,96 ; 2,14 ;;;;;;;;;;;;;;;;
 3,73 ; 20,31 ; 39,36 ; 2,15 ;;;;;;;;;;;;;;;;
 3,63 ; 20,44 ; 39,12 ; 2,13 ;;;;;;;;;;;;;;;;
 3,55 ; 20,00 ; 39,45 ; 2,07 ;;;;;;;;;;;;;;;;
 3,64 ; 19,82 ; 39,64 ; 2,17 ;;;;;;;;;;;;;;;;
 3,66 ; 20,95 ; 39,34 ; 2,25 ;;;;;;;;;;;;;;;;
 3,70 ; 22,29 ; 39,85 ; 2,27 ;;;;;;;;;;;;;;;;
 3,76 ; 21,87 ; 40,44 ; 2,35 ;;;;;;;;;;;;;;;;
 3,84 ; 21,70 ; 39,70 ; 2,41 ;;;;;;;;;;;;;;;;
 3,90 ; 22,70 ; 39,88 ; 2,50 ;;;;;;;;;;;;;;;;
 3,77 ; 21,84 ; 40,07 ; 2,47 ;;;;;;;;;;;;;;;;
 3,75 ; 21,49 ; 38,91 ; 2,44 ;;;;;;;;;;;;;;;;
 3,70 ; 21,80 ; 39,34 ; 2,50 ;;;;;;;;;;;;;;;;
 3,77 ; 21,25 ; 39,43 ; 2,45 ;;;;;;;;;;;;;;;;
 3,77 ; 21,30 ; 39,85 ; 2,45 ;;;;;;;;;;;;;;;;
 3,73 ; 20,40 ; 39,74 ; 2,39 ;;;;;;;;;;;;;;;;
 3,67 ; 19,56 ; 39,24 ; 2,42 ;;;;;;;;;;;;;;;;
 3,77 ; 20,05 ; 40,82 ; 2,42 ;;;;;;;;;;;;;;;;
 3,68 ; 19,77 ; 40,45 ; 2,42 ;;;;;;;;;;;;;;;;
 3,71 ; 20,11 ; 40,17 ; 2,46 ;;;;;;;;;;;;;;;;
 3,62 ; 20,30 ; 40,80 ; 2,45 ;;;;;;;;;;;;;;;;
 3,60 ; 20,58 ; 41,06 ; 2,46 ;;;;;;;;;;;;;;;;
 3,54 ; 20,11 ; 41,06 ; 2,41 ;;;;;;;;;;;;;;;;
 3,49 ; 20,70 ; 39,76 ; 2,39 ;;;;;;;;;;;;;;;;
 3,49 ; 21,58 ; 40,16 ; 2,40 ;;;;;;;;;;;;;;;;
 3,46 ; 20,65 ; 40,90 ; 2,33 ;;;;;;;;;;;;;;;;
 3,58 ; 22,65 ; 42,59 ; 2,52 ;;;;;;;;;;;;;;;;
 3,63 ; 23,83 ; 42,11 ; 2,58 ;;;;;;;;;;;;;;;;
 3,63 ; 23,65 ; 42,11 ; 2,64 ;;;;;;;;;;;;;;;;
 3,55 ; 23,30 ; 42,10 ; 2,64 ;;;;;;;;;;;;;;;;
 3,54 ; 23,69 ; 42,15 ; 2,64 ;;;;;;;;;;;;;;;;
 3,57 ; 23,48 ; 42,59 ; 2,68 ;;;;;;;;;;;;;;;;
 3,56 ; 23,00 ; 42,69 ; 2,61 ;;;;;;;;;;;;;;;;
 3,51 ; 22,95 ; 43,36 ; 2,51 ;;;;;;;;;;;;;;;;
 3,51 ; 24,21 ; 44,75 ; 2,54 ;;;;;;;;;;;;;;;;
 3,49 ; 24,87 ; 44,15 ; 2,46 ;;;;;;;;;;;;;;;;
 3,51 ; 25,57 ; 43,32 ; 2,37 ;;;;;;;;;;;;;;;;
 3,41 ; 24,90 ; 43,66 ; 2,30 ;;;;;;;;;;;;;;;;
 3,44 ; 25,00 ; 44,42 ; 2,33 ;;;;;;;;;;;;;;;;
 3,47 ; 24,98 ; 44,53 ; 2,47 ;;;;;;;;;;;;;;;;
 3,42 ; 24,90 ; 43,10 ; 2,45 ;;;;;;;;;;;;;;;;
 3,48 ; 24,85 ; 42,95 ; 2,56 ;;;;;;;;;;;;;;;;
 3,45 ; 27,00 ; 42,60 ; 2,59 ;;;;;;;;;;;;;;;;
 3,43 ; 27,35 ; 41,89 ; 2,48 ;;;;;;;;;;;;;;;;
 3,42 ; 27,95 ; 41,68 ; 2,54 ;;;;;;;;;;;;;;;;
 3,47 ; 29,23 ; 42,06 ; 2,71 ;;;;;;;;;;;;;;;;
 3,44 ; 28,49 ; 41,71 ; 2,94 ;;;;;;;;;;;;;;;;
 3,41 ; 28,83 ; 41,04 ; 2,85 ;;;;;;;;;;;;;;;;
 3,44 ; 27,90 ; 40,77 ; 2,84 ;;;;;;;;;;;;;;;;
 3,41 ; 27,90 ; 41,42 ; 2,87 ;;;;;;;;;;;;;;;;
 3,46 ; 28,54 ; 41,43 ; 2,89 ;;;;;;;;;;;;;;;;
